file,measure,pitch,fingering,part,midi,has_annotation,interval,abs_interval,measure_position,measure_length,measure_position_norm,hand_encoding,prev_fingering,next_fingering,is_black_key,is_step_motion,is_large_jump,octave,is_high_register,is_low_register,is_ascending,is_descending,finger_span,hand_position,in_scale_pattern,is_first_in_measure,is_last_in_measure,pp_speed_cost,pp_hand_stretch,pp_forbidden,pp_black_penalty,pp_prediction,pp_confidence
annotated_Piano7_candace_page1,5,E4,1.0,P1,64,True,7.0,7.0,6,8,0.75,0,5.0,3.0,0,0,0,5,0,0,1,0,7.0,67.6,0,0,0,0.9090909090909091,1.0,0,1.0,5,0.0
annotated_Piano7_candace_page1,5,C4,3.0,P1,60,True,-4.0,4.0,7,8,0.875,0,1.0,5.0,0,0,0,5,0,0,0,1,4.0,65.8,0,0,1,0.9090909090909091,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page1,6,E5,5.0,P1,76,True,16.0,16.0,0,7,0.0,0,3.0,1.0,0,0,1,6,1,0,1,0,16.0,66.6,0,1,0,1.5625,1.0,0,1.0,3,0.0
annotated_Piano7_candace_page1,6,C5,1.0,P1,72,True,-4.0,4.0,1,7,0.14285714285714285,0,5.0,1.0,0,0,0,6,0,0,0,1,4.0,65.8,0,0,0,0.9090909090909091,1.0,0,1.0,5,0.0
annotated_Piano7_candace_page1,6,A4,1.0,P1,69,True,-3.0,3.0,2,7,0.2857142857142857,0,1.0,5.0,0,0,0,5,0,0,0,1,3.0,68.2,0,0,0,0.9090909090909091,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page1,6,F3,5.0,P1,53,True,-16.0,16.0,3,7,0.42857142857142855,0,1.0,1.0,0,0,1,4,0,1,0,1,16.0,66.0,0,0,0,1.5625,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page1,6,C4,1.0,P1,60,True,7.0,7.0,4,7,0.5714285714285714,0,5.0,1.0,0,0,0,5,0,0,1,0,7.0,66.0,0,0,0,0.9090909090909091,1.0,0,1.0,5,0.0
annotated_Piano7_candace_page1,6,C3,1.0,P1,48,True,-12.0,12.0,5,7,0.7142857142857143,0,1.0,5.0,0,0,1,4,0,1,0,1,12.0,60.4,0,0,0,1.1363636363636362,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page1,6,C3,5.0,P1,48,True,0.0,0.0,6,7,0.8571428571428571,0,1.0,5.0,0,1,0,4,0,1,0,0,0.0,55.6,0,0,1,1.25,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page1,7,E5,5.0,P1,76,True,28.0,28.0,0,6,0.0,0,5.0,3.0,0,0,1,6,1,0,1,0,28.0,57.0,0,1,0,1.5625,1.0,0,1.0,5,0.0
annotated_Piano7_candace_page1,7,C5,3.0,P1,72,True,-4.0,4.0,1,6,0.16666666666666666,0,5.0,1.0,0,0,0,6,0,0,0,1,4.0,60.8,0,0,0,0.9090909090909091,1.0,0,1.0,5,0.0
annotated_Piano7_candace_page1,7,A4,1.0,P1,69,True,-3.0,3.0,2,6,0.3333333333333333,0,3.0,3.0,0,0,0,5,0,0,0,1,3.0,62.6,0,0,0,0.9090909090909091,1.0,0,1.0,3,0.0
annotated_Piano7_candace_page1,7,F3,3.0,P1,53,True,-16.0,16.0,3,6,0.5,0,1.0,4.0,0,0,1,4,0,1,0,1,16.0,63.6,0,0,0,1.1363636363636362,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page1,7,E3,4.0,P1,52,True,-1.0,1.0,4,6,0.6666666666666666,0,3.0,5.0,0,1,0,4,0,1,0,1,1.0,64.4,0,0,0,1.1111111111111112,1.0,1,1.0,3,0.0
annotated_Piano7_candace_page1,7,C3,5.0,P1,48,True,-4.0,4.0,5,6,0.8333333333333334,0,4.0,5.0,0,0,0,4,0,1,0,1,4.0,58.8,0,0,1,1.25,1.0,1,1.0,4,0.0
annotated_Piano7_candace_page1,8,E5,5.0,P1,76,True,28.0,28.0,0,7,0.0,0,5.0,3.0,0,0,1,6,1,0,1,0,28.0,59.6,0,1,0,1.5625,1.0,0,1.0,5,0.037098930481283765
annotated_Piano7_candace_page1,8,C5,3.0,P1,72,True,-4.0,4.0,1,7,0.14285714285714285,0,5.0,1.0,0,0,0,6,0,0,0,1,4.0,60.2,0,0,0,0.9090909090909091,1.0,0,1.0,5,0.1336155674390972
annotated_Piano7_candace_page1,8,A4,1.0,P1,69,True,-3.0,3.0,2,7,0.2857142857142857,0,3.0,5.0,0,0,0,5,0,0,0,1,3.0,63.4,0,0,0,0.9090909090909091,1.0,0,1.0,3,0.0
annotated_Piano7_candace_page1,8,A3,5.0,P1,57,True,-12.0,12.0,3,7,0.42857142857142855,0,1.0,1.0,0,0,1,4,0,1,0,1,12.0,64.4,0,0,0,1.5625,1.0,0,1.0,1,0.016627673796791864
annotated_Piano7_candace_page1,8,E4,1.0,P1,64,True,7.0,7.0,4,7,0.5714285714285714,0,5.0,3.0,0,0,0,5,0,0,1,0,7.0,67.6,0,0,0,0.9090909090909091,1.0,0,1.0,5,0.0
annotated_Piano7_candace_page1,8,C4,3.0,P1,60,True,-4.0,4.0,5,7,0.7142857142857143,0,1.0,1.0,0,0,0,5,0,0,0,1,4.0,64.4,0,0,0,0.9090909090909091,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page1,8,C4,1.0,P1,60,True,0.0,0.0,6,7,0.8571428571428571,0,3.0,5.0,0,1,0,5,0,0,0,0,0.0,62.0,0,0,1,0.9090909090909091,1.0,0,1.0,3,0.0
annotated_Piano7_candace_page1,9,E5,5.0,P1,76,True,16.0,16.0,0,8,0.0,0,1.0,1.0,0,0,1,6,1,0,1,0,16.0,63.4,0,1,0,1.5625,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page1,9,C5,1.0,P1,72,True,-4.0,4.0,1,8,0.125,0,5.0,1.0,0,0,0,6,0,0,0,1,4.0,66.4,0,0,0,0.9090909090909091,1.0,0,1.0,5,0.0
annotated_Piano7_candace_page1,9,A4,1.0,P1,69,True,-3.0,3.0,2,8,0.25,0,1.0,5.0,0,0,0,5,0,0,0,1,3.0,67.4,0,0,0,0.9090909090909091,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page1,9,A3,5.0,P1,57,True,-12.0,12.0,3,8,0.375,0,1.0,1.0,0,0,1,4,0,1,0,1,12.0,66.8,0,0,0,1.5625,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page1,9,E4,1.0,P1,64,True,7.0,7.0,4,8,0.5,0,5.0,5.0,0,0,0,5,0,0,1,0,7.0,67.6,0,0,0,0.9090909090909091,1.0,0,1.0,5,0.0
annotated_Piano7_candace_page1,9,E3,5.0,P1,52,True,-12.0,12.0,5,8,0.625,0,1.0,3.0,0,0,1,4,0,1,0,1,12.0,62.8,0,0,0,1.5625,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page1,9,C4,3.0,P1,60,True,8.0,8.0,6,8,0.75,0,5.0,1.0,0,0,1,5,0,0,1,0,8.0,60.4,0,0,0,1.1363636363636362,1.0,0,1.0,5,0.0
annotated_Piano7_candace_page1,9,E3,1.0,P1,52,True,-8.0,8.0,7,8,0.875,0,3.0,0.0,0,0,1,4,0,1,0,1,8.0,57.0,0,0,1,1.1363636363636362,1.0,0,1.0,3,0.0
annotated_Piano7_candace_page2,1,G5,5.0,P1,79,True,0.0,0.0,0,7,0.0,0,0.0,3.0,0,1,0,6,1,0,0,0,0.0,79.0,0,1,0,1.5625,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page2,1,D5,3.0,P1,74,True,-5.0,5.0,1,7,0.14285714285714285,0,5.0,1.0,0,0,0,6,1,0,0,1,5.0,76.5,0,0,0,0.9090909090909091,1.0,0,1.0,5,0.0
annotated_Piano7_candace_page2,1,B4,1.0,P1,71,True,-3.0,3.0,2,7,0.2857142857142857,0,3.0,4.0,0,0,0,5,0,0,0,1,3.0,74.66666666666667,0,0,0,0.9090909090909091,1.0,0,1.0,3,0.0
annotated_Piano7_candace_page2,1,F#5,4.0,P1,78,True,7.0,7.0,3,7,0.42857142857142855,0,1.0,5.0,1,0,0,6,1,0,1,0,7.0,75.5,0,0,0,1.3888888888888886,1.0,0,0.8,1,0.0
annotated_Piano7_candace_page2,1,E3,5.0,P1,52,True,-26.0,26.0,4,7,0.5714285714285714,0,4.0,1.0,0,0,1,4,0,1,0,1,26.0,70.8,0,0,0,1.5625,1.0,1,1.0,4,0.0
annotated_Piano7_candace_page2,1,B3,1.0,P1,59,True,7.0,7.0,5,7,0.7142857142857143,0,5.0,3.0,0,0,0,4,0,1,1,0,7.0,66.8,0,0,0,0.9090909090909091,1.0,0,1.0,5,0.0
annotated_Piano7_candace_page2,1,G3,3.0,P1,55,True,-4.0,4.0,6,7,0.8571428571428571,0,1.0,5.0,0,0,0,4,0,1,0,1,4.0,63.0,0,0,1,0.9090909090909091,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page2,2,G5,5.0,P1,79,True,24.0,24.0,0,7,0.0,0,3.0,3.0,0,0,1,6,1,0,1,0,24.0,64.6,0,1,0,1.5625,1.0,0,1.0,3,0.0
annotated_Piano7_candace_page2,2,D5,3.0,P1,74,True,-5.0,5.0,1,7,0.14285714285714285,0,5.0,1.0,0,0,0,6,1,0,0,1,5.0,63.8,0,0,0,0.9090909090909091,1.0,0,1.0,5,0.0
annotated_Piano7_candace_page2,2,B4,1.0,P1,71,True,-3.0,3.0,2,7,0.2857142857142857,0,3.0,4.0,0,0,0,5,0,0,0,1,3.0,67.6,0,0,0,0.9090909090909091,1.0,0,1.0,3,0.0
annotated_Piano7_candace_page2,2,F#5,4.0,P1,78,True,7.0,7.0,3,7,0.42857142857142855,0,1.0,5.0,1,0,0,6,1,0,1,0,7.0,71.4,0,0,0,1.3888888888888886,1.0,0,0.8,1,0.0
annotated_Piano7_candace_page2,2,E3,5.0,P1,52,True,-26.0,26.0,4,7,0.5714285714285714,0,4.0,1.0,0,0,1,4,0,1,0,1,26.0,70.8,0,0,0,1.5625,1.0,1,1.0,4,0.0
annotated_Piano7_candace_page2,2,B3,1.0,P1,59,True,7.0,7.0,5,7,0.7142857142857143,0,5.0,3.0,0,0,0,4,0,1,1,0,7.0,66.8,0,0,0,0.9090909090909091,1.0,0,1.0,5,0.0
annotated_Piano7_candace_page2,2,G3,3.0,P1,55,True,-4.0,4.0,6,7,0.8571428571428571,0,1.0,5.0,0,0,0,4,0,1,0,1,4.0,63.0,0,0,1,0.9090909090909091,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page2,3,E5,5.0,P1,76,True,21.0,21.0,0,10,0.0,0,3.0,3.0,0,0,1,6,1,0,1,0,21.0,64.0,0,1,0,1.5625,1.0,0,1.0,3,0.23392008318478918
