file,measure,pitch,fingering,part,midi,has_annotation,interval,abs_interval,measure_position,measure_length,measure_position_norm,hand_encoding,prev_fingering,next_fingering,is_black_key,is_step_motion,is_large_jump,octave,is_high_register,is_low_register,is_ascending,is_descending
annotated_Piano7_candace_page1,8,E5,5.0,P1,76,True,28.0,28.0,0,7,0.0,0,5.0,3.0,0,0,1,6,1,0,1,0
annotated_Piano7_candace_page1,8,C5,3.0,P1,72,True,-4.0,4.0,1,7,0.14285714285714285,0,5.0,1.0,0,0,0,6,0,0,0,1
annotated_Piano7_candace_page1,8,A4,1.0,P1,69,True,-3.0,3.0,2,7,0.2857142857142857,0,3.0,5.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page1,8,A3,5.0,P1,57,True,-12.0,12.0,3,7,0.42857142857142855,0,1.0,1.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page1,8,E4,1.0,P1,64,True,7.0,7.0,4,7,0.5714285714285714,0,5.0,3.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page1,8,C4,3.0,P1,60,True,-4.0,4.0,5,7,0.7142857142857143,0,1.0,1.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page1,8,C4,1.0,P1,60,True,0.0,0.0,6,7,0.8571428571428571,0,3.0,5.0,0,1,0,5,0,0,0,0
annotated_Piano7_candace_page1,9,E5,5.0,P1,76,True,16.0,16.0,0,8,0.0,0,1.0,1.0,0,0,1,6,1,0,1,0
annotated_Piano7_candace_page1,9,C5,1.0,P1,72,True,-4.0,4.0,1,8,0.125,0,5.0,1.0,0,0,0,6,0,0,0,1
annotated_Piano7_candace_page1,9,A4,1.0,P1,69,True,-3.0,3.0,2,8,0.25,0,1.0,5.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page1,9,A3,5.0,P1,57,True,-12.0,12.0,3,8,0.375,0,1.0,1.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page1,9,E4,1.0,P1,64,True,7.0,7.0,4,8,0.5,0,5.0,5.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page1,9,E3,5.0,P1,52,True,-12.0,12.0,5,8,0.625,0,1.0,3.0,0,0,1,4,0,1,0,1
